Age,Gender,Locality,Marital Status,Category,Economic Status,Institution type,Affiliation,Mode of Study,Undergraduate,Postgraduate,Semester,Mother's Education ,Father's Education ,Pre-Owned Disease - Mental,Pre-Owned Disease - Physical ,"PI [In case of some difficult subjects, I can't concentrate in the class.]",PI [While listening to the lectures I keep on making movements.],PI [I become uneasy or uncomfortable about my inability to take the decision about which subject and how much should I study.],PI [I feel like postponing study plan.],PI [I feel to bunk lectures when I do not understand class lectures.],PI [I become uncomfortable as I do not concentrate on my study.],PI [I experience heaviness of head while studying some subjects.],PI [I become anxious with a thought that I have a low intellectual level.],PI [I become uneasy when I fail to remember my study.],PI [I become fatigued after the study.],PI [I experience heaviness in the head when I see books and notes.],PI [I become uneasy with the idea of whether to play or study.],"PI [While studying, I feel that some subjects are beyond my grasp.]",PI [I experience duality of mind whether the selected curriculum is proper or improper for me.],"PI [Due to the dislike for some subjects, I do not feel like studying.]",PI [I am in the habit of daydreaming while listening to the lectures or studying.],IPT [I get bored with uninterested teaching.],IPT [I am afraid of examinations due to the incomplete syllabus.],IPT [I become restless when I realize that my friends have completed their study.],IPT [There is a burden of high expectations of teachers upon me.],IPT [I get irritated due to the teacher's partiality.],"IPT [I become uneasy when my friends who get the same marks like me, are appreciated by others.]",IPT [I become uncomfortable when I do not get the appointment of the teachers for clearing my doubts.],IPT [I have to study regularly in order to get more marks than my friends.],IPT [I feel like avoiding the college as my friends tease me.],IPT [I get angry because some teachers avoid lectures.],IPT [I have a pressure of completing home assignments in time.],IPT [I become frightened while answering the questions asked by the teachers.],IPT [I feel the pressure of teachers' strict discipline.],IPT [I become uneasy when I waste my time in the company of my friends.],IPT [I feel pressure while communicating with teachers due to the internal disputes between them.],IPT [I dare not asking questions to the teachers.],"IPT [Due to the grouping of students, I always feel under the pressure.]",FE [I become restless due to the non-preparation in the examination.],FE [I become sad or nervous with the idea of getting fewer marks in the examination.],FE [I become irritated because I do not get enough sleep during the examination.],FE [It troubles me that I might fell sick during the examination.],FE [I have become insensitive due to exhaustive study.],FE [I experience the problem of indigestion during examination time.],FE [I become frightened while entering the examination hall.],FE [I am afraid of failure in the examination despite good study.],FE [I frequently become sick during the examination.],FE [I don't have sound sleep due to the thoughts of examination.],FE [I become tense due to the incomplete study of some subjects.],IFC [I become unenthusiastic due to the non-ventilated atmosphere in the classroom.],IFC [I become angry due to the non-cooperation of the non-teaching staff.],IFC [I become nervous if I do not get a seat in the study room.],IFC [I get bored due to non-ventilated classrooms.],IFC [The constant noise around the college campus troubles me.],IFC [Academic overload makes me tired.],IFC [I become fatigued due to the busy academic schedule of college.],IFC [I feel like taking holiday due to the academic burden.],"IFC [Due to unavailability of expert teachers and inadequate subject knowledge of teachers, I become uncomfortable.]",PE&SES [I feel the pressure of strict disciplined parents.],PE&SES [I get tired adjusting with study and household duties.],PE&SES [There is a pressure of parents on me to get highest marks.],PE&SES [I become nervous as I can't participate in trip due to financial problems.],PE&SES [There is a pressure of parents on me to study hard instead of wasting time in the company of friends.],PE&SES [The financial problem of my family makes me anxious.],PE&SES [I am irritated with the constant suggestions by the parents for study.],PE&SES [There is a pressure of returning home early from the college.],PE&SES [I become sad because I cannot enjoy like my other friends due to financial problems.],PE&SES [There is a pressure of parents on me to score more marks than my friends.],PE&SES [I feel nervous because I can't purchase reference books or notes in time.],PE&SES [I suffer from an inferiority complex because the social status of my family is low compared to friends.],PE&SES [There is a pressure of parents on me to participate in extracurricular activities.],PI_Score,IPT_Score,FE_Score,IFC_Score,PESES_Score,Total_Stress_Score
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,First,Literate,Literate,No,No,4,4,4,5,4,3,5,4,4,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,3,5,4,4,3,5,4,5,4,5,3,5,4,4,5,4,4,5,4,5,4,4,4,4,5,5,4,4,5,3,5,3,5,3,5,3,3,5,66,68,48,39,53,274
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Intermediate,Intermediate,No,No,4,3,4,4,3,3,4,4,4,4,3,2,3,2,4,2,3,3,2,3,2,3,3,4,3,2,2,4,3,4,3,3,3,4,4,4,4,4,4,3,4,3,3,4,3,2,2,3,3,3,3,4,3,3,4,3,3,4,2,2,3,2,3,4,2,3,53,50,41,26,38,208
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,First,Literate,Literate,No,No,4,2,4,4,2,2,4,4,2,2,4,4,4,4,2,2,4,4,4,2,2,4,4,4,2,2,2,2,2,2,2,2,4,2,2,4,4,4,2,4,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,48,34,27,39,198
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Private,Regular mode,Not Applicable,Not Applicable,Third,Intermediate,Intermediate,No,No,4,2,4,3,3,4,3,3,4,3,3,4,4,4,4,3,2,4,2,3,3,2,3,4,3,3,4,4,3,3,3,4,3,4,4,3,2,3,2,4,4,2,3,3,3,3,3,3,4,3,3,3,3,2,4,3,3,2,4,2,2,4,2,3,4,3,55,53,34,28,38,208
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Arts,Arts,Fifth,Literate,Literate,No,No,4,2,4,2,3,4,4,4,4,2,3,4,4,4,2,2,5,5,5,2,5,2,2,2,2,5,5,5,5,5,5,5,5,4,4,2,3,4,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,2,5,2,5,2,2,2,5,2,2,4,4,2,52,70,45,44,39,250
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Third,Intermediate,Intermediate,No,No,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,49,52,33,27,39,200
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,First,Literate,Literate,No,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,48,51,33,27,39,198
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Not Applicable,Fifth,Literate,Literate,No,No,3,4,4,3,3,4,4,2,3,4,3,3,4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,3,4,3,4,3,4,3,4,3,4,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,56,61,41,33,50,241
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Arts,Arts,First,Literate,Literate,No,No,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,52,51,33,27,39,202
Between 18 to 25,Male,Rural,Unmarried,General,Antyodaya,College,Private,Distance mode,Arts,Not Applicable,Third,Literate,Literate,No,No,4,4,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,59,68,44,36,52,259
Between 18 to 25,Male,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Government,Regular mode,Computer Science,Not Applicable,Eighth,Intermediate,Literate,No,No,4,3,4,3,4,5,5,5,5,2,3,2,5,5,5,5,5,5,3,2,3,1,4,4,2,5,4,3,4,4,4,4,4,5,5,3,2,2,4,2,4,1,2,4,4,5,4,4,2,2,2,4,5,2,4,4,4,5,5,2,2,4,5,1,4,5,65,61,34,32,47,239
Between 18 to 25,Female,Rural,Married,General,Above Poverty Line (APL),University,Government,Distance mode,Arts,Arts,Third,Intermediate,Intermediate,No,No,4,3,3,3,3,2,2,4,3,3,3,2,3,2,2,2,2,2,2,2,2,3,3,2,3,2,3,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,44,43,22,20,27,156
Between 18 to 25,Male,Urban,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),University,Government,Regular mode,Computer Science,Not Applicable,Sixth,Intermediate,Intermediate,No,No,2,4,4,4,4,5,3,4,4,4,1,4,1,2,3,4,4,4,2,3,2,2,2,5,1,2,4,4,3,4,3,4,3,4,4,2,4,3,3,4,3,2,3,4,4,4,2,3,2,4,4,4,4,2,4,3,2,2,4,1,2,2,2,2,1,1,53,52,36,31,28,200
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Antyodaya,College,Private,Regular mode,Arts,M.A yoga ,Second,Intermediate,Intermediate,No,No,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,4,2,3,4,2,3,2,5,34,37,22,18,41,152
Between 18 to 25,Male,Rural,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),University,Government,Regular mode,Computer Science,Not Applicable,Sixth,Above Graduation,Above Graduation,No,No,2,3,2,3,4,2,3,2,3,4,3,4,2,3,3,3,5,3,3,3,3,2,3,3,2,2,3,3,3,4,3,3,3,4,4,2,3,2,1,2,2,1,2,4,3,4,2,3,3,4,4,3,4,2,3,2,3,3,3,3,3,2,2,3,2,4,46,51,27,30,35,189
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Second,Literate,Graduate,No,No,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,2,4,2,2,2,2,2,2,2,35,41,26,20,30,152
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Computer Science,Computer Science,Sixth,Graduate,Above Graduation,No,No,3,4,4,5,4,3,2,3,1,2,4,5,1,5,2,4,5,5,4,3,3,1,3,3,2,1,5,4,3,1,3,3,3,4,5,2,2,2,4,5,5,3,5,5,5,3,1,1,1,1,5,5,5,3,3,3,4,4,5,1,2,4,2,2,1,1,52,52,42,27,35,208
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Government,Regular mode,Computer Science,Computer Science,Eighth,Literate,Literate,No,No,2,4,2,4,2,2,4,3,2,2,4,2,2,4,3,4,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,4,4,3,3,3,3,3,4,2,2,2,4,4,4,4,2,3,4,2,3,4,4,4,4,2,3,2,3,2,4,2,2,2,2,2,46,60,33,30,34,203
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Forth,Literate,Literate,No,No,4,4,2,2,2,4,4,3,4,2,2,2,3,3,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,3,4,2,3,4,2,2,2,2,2,2,2,2,2,4,2,2,2,1,1,2,2,2,1,1,2,1,4,1,2,2,2,2,1,2,1,1,49,35,26,15,22,147
Between 18 to 25,Male,Rural,Unmarried,Scheduled Tribe,Above Poverty Line (APL),University,Government,Regular mode,Computer Science,Not Applicable,Sixth,Intermediate,Graduate,No,No,1,1,5,1,5,4,3,3,1,5,3,4,3,4,4,1,5,2,1,1,1,1,1,2,1,5,4,2,2,2,1,1,1,1,5,5,1,1,5,1,1,1,2,2,4,5,4,4,2,4,4,1,5,2,4,3,5,2,4,2,5,4,4,5,1,2,48,33,25,33,43,182
Between 18 to 25,Male,Urban,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),University,Government,Regular mode,Mechanical engineering ,Not Applicable,Sixth,Literate,Intermediate,No,No,1,1,5,1,5,4,3,3,1,5,3,4,3,5,5,1,5,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,5,1,5,1,4,4,1,5,1,5,3,5,4,4,1,4,5,4,5,1,1,50,29,19,27,43,168
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Distance mode,Arts,Arts,Second,Literate,Intermediate,No,No,5,3,1,1,2,5,1,1,3,1,1,2,1,3,1,2,5,1,2,5,5,3,5,4,2,2,2,2,2,4,2,2,2,2,2,2,5,1,2,1,1,1,1,1,1,5,1,4,4,4,1,1,4,1,1,1,4,4,4,2,1,4,1,2,1,4,33,50,19,25,30,157
Between 18 to 25,Female,Urban,Unmarried,Scheduled Tribe,Below Poverty Line (BPL),University,Government,Regular mode,Arts,Arts,Second,Literate,Literate,No,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,80,85,55,45,65,330
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Arts,Second,Intermediate,Graduate,No,No,3,2,1,1,1,2,2,2,3,3,2,2,4,2,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,3,2,1,2,3,2,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,33,25,17,15,17,107
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Second,Literate,Intermediate,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,32,34,22,18,28,134
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Distance mode,Arts,Not Applicable,Second,Intermediate,Intermediate,No,No,4,4,4,2,2,2,2,4,4,3,2,2,2,2,2,2,2,2,2,4,3,2,4,2,3,2,2,2,3,2,4,3,2,2,2,2,2,2,2,3,4,5,5,3,3,3,3,3,3,2,3,4,3,2,2,2,2,2,3,3,2,2,4,3,2,2,43,44,32,27,31,177
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Second,Literate,Literate,No,No,2,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,4,4,1,4,1,4,2,2,2,4,2,2,2,2,4,2,4,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,4,2,4,4,4,4,44,44,26,18,44,176
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Arts,Second,Literate,Graduate,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,32,36,22,18,28,136
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Below Poverty Line (BPL),University,Government,Regular mode,Btech ,Computer Science,Eighth,Literate,Literate,No,No,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,3,2,4,4,2,4,2,2,4,2,2,2,2,4,2,2,2,2,4,2,4,2,4,2,2,2,2,2,2,2,63,65,29,22,32,211
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Private,Regular mode,Arts,Pg diploma in yoga science,Second,Literate,Graduate,No,No,2,1,1,2,2,1,2,2,2,3,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,4,1,1,2,1,1,1,1,2,2,3,3,1,2,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,28,24,21,15,16,104
Between 18 to 25,Male,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Government,Regular mode,Science,Science,Second,Literate,Graduate,No,No,3,3,4,4,1,3,2,3,3,2,2,2,4,4,3,2,4,4,2,2,2,3,2,3,2,3,4,4,2,4,3,3,2,4,4,4,2,3,2,2,2,2,2,4,4,2,4,2,2,4,2,2,4,2,4,4,2,4,4,2,2,4,2,2,2,2,45,49,31,26,36,187
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),University,Private,Distance mode,Arts,Arts,Second,Intermediate,Intermediate,No,No,1,1,3,2,2,4,3,4,4,2,2,2,4,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,3,3,2,3,2,3,2,1,1,1,1,2,1,2,2,3,1,3,1,1,1,3,1,42,36,25,18,22,143
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Arts,Second,Literate,Literate,No,No,2,2,4,4,4,4,2,4,4,2,4,2,4,3,3,4,4,2,4,2,4,2,2,2,2,2,4,4,2,2,2,2,2,2,4,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,2,3,2,2,4,2,52,44,28,18,33,175
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Distance mode,Arts,Not Applicable,First,Literate,Literate,No,No,5,2,3,5,4,5,4,5,5,4,5,2,5,3,5,5,5,3,5,2,3,2,5,2,2,4,2,3,2,4,2,1,1,5,5,5,5,5,2,4,5,3,4,5,5,5,5,4,5,5,3,5,3,2,3,2,2,3,5,2,2,4,2,2,5,2,67,48,48,40,36,239
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,First,Intermediate,Intermediate,No,No,4,4,4,2,2,1,4,4,4,2,5,4,3,5,3,2,3,3,5,5,3,4,2,3,4,3,5,5,5,4,4,1,3,5,3,2,5,5,3,2,4,2,3,1,2,3,3,2,4,2,1,4,5,5,3,3,4,4,2,2,3,4,4,4,4,5,53,62,35,26,47,223
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Arts,Arts,Forth,Literate,Literate,No,No,3,3,4,4,2,4,3,4,3,2,4,4,4,4,3,4,3,5,4,2,2,3,2,3,1,1,2,5,1,2,1,5,4,5,4,2,4,4,3,5,4,2,4,4,4,2,2,2,2,2,4,4,2,2,2,3,2,4,4,3,3,3,3,4,4,4,55,46,41,24,41,207
Between 18 to 25,Female,Urban,Married,General,Above Poverty Line (APL),University,Government,Distance mode,BAY,MAY ,Second,Graduate,Graduate,No,No,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34,34,22,18,26,134
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Arts,Science,Second,Intermediate,Intermediate,No,No,5,5,4,2,2,2,4,2,4,2,4,4,2,4,2,2,2,4,2,2,2,4,2,4,4,1,2,4,2,3,2,4,3,3,4,2,3,2,2,2,4,3,3,4,4,2,4,4,4,3,3,3,2,2,5,2,3,3,2,3,2,2,2,3,3,5,50,47,32,29,37,195
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Arts,Yogic science ,Second,Intermediate,Intermediate,No,No,3,2,4,3,2,2,3,2,4,4,4,2,3,4,2,2,3,5,2,4,5,5,4,3,2,4,4,3,3,2,4,2,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,2,2,4,2,2,46,59,43,35,33,216
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Distance mode,Arts,Not Applicable,Fifth,Intermediate,Literate,No,No,1,1,3,1,2,3,2,2,3,2,2,2,2,2,2,3,3,1,2,1,1,3,3,4,3,3,2,3,2,3,2,3,2,3,3,2,2,3,3,1,4,3,4,2,3,2,3,4,1,3,3,2,2,2,2,2,2,2,3,2,2,4,2,4,1,1,33,41,30,23,29,156
Between 18 to 25,Male,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Government,Regular mode,Computer Science,Not Applicable,Sixth,Graduate,Graduate,No,No,3,4,3,5,1,3,1,3,5,4,1,3,2,5,1,1,3,5,5,5,3,3,3,5,4,3,4,5,5,5,3,3,4,5,5,1,5,5,3,3,5,1,3,5,3,3,1,4,2,5,4,3,5,5,5,5,4,3,5,4,5,5,5,3,1,3,45,68,41,30,53,237
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Distance mode,Arts,Arts,Third,Intermediate,Intermediate,No,No,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,4,4,4,4,3,3,4,3,4,4,4,5,3,4,5,4,4,3,4,4,4,4,4,5,5,5,4,5,4,4,4,5,4,4,3,3,4,4,3,4,3,4,4,4,4,4,3,4,66,68,46,37,48,265
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Distance mode,Arts,Not Applicable,Sixth,Intermediate,Graduate,No,No,4,4,5,4,4,4,3,4,4,3,2,2,2,3,4,4,4,3,4,3,3,2,4,4,2,3,3,4,2,3,4,4,4,4,4,4,4,4,2,2,4,2,4,4,4,4,4,5,4,4,4,4,4,2,4,2,2,4,4,2,3,2,2,4,2,2,56,56,38,37,35,222
Between 18 to 25,Male,Urban,Unmarried,General,Above Poverty Line (APL),Coaching ,Private,Distance mode,Arts,Not Applicable,First,Above Graduation,Above Graduation,No,No,3,4,5,5,2,3,1,1,4,3,2,3,3,3,2,2,5,4,3,4,4,2,3,4,2,2,4,3,4,2,4,2,4,3,3,2,3,2,2,2,4,2,2,4,3,4,4,2,4,4,5,5,4,4,2,5,2,5,4,3,2,2,4,5,4,4,46,56,29,35,46,212
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Distance mode,Arts,Arts,Third,Literate,Literate,No,No,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,2,2,2,2,2,4,2,2,2,4,2,2,2,2,4,2,2,38,36,24,20,32,150
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Antyodaya,College,Government,Distance mode,Arts,Arts,First,Literate,Literate,No,No,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,62,68,44,36,52,262
Between 18 to 25,Male,Urban,Unmarried,Other Backward Classes (OBC),Above Poverty Line (APL),Gurukul Kangri Vishwavidyalaya ,Government,Regular mode,Electronics and communication ,Not Applicable,Eighth,Graduate,Graduate,No,No,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,17,11,9,13,67
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Above Poverty Line (APL),College,Government,Regular mode,Arts,Arts,Second,Intermediate,Above Graduation,No,No,4,3,4,2,1,3,4,5,5,4,2,1,3,1,2,4,4,2,2,3,1,1,1,3,1,3,3,5,1,3,1,3,1,3,3,4,1,2,1,1,2,1,2,1,1,1,1,3,3,2,3,1,1,3,1,3,1,4,1,3,4,1,3,1,1,2,48,38,21,16,28,151
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Distance mode,Arts,Not Applicable,Third,Literate,Literate,No,No,3,4,4,2,2,5,4,4,4,3,3,4,4,4,4,3,3,5,4,4,3,5,5,4,3,3,5,4,5,5,5,3,3,4,3,4,3,3,3,2,4,2,3,4,2,5,2,2,1,3,3,3,4,2,3,2,3,3,5,3,2,3,1,4,3,3,57,69,35,25,37,223
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Below Poverty Line (BPL),University,Government,Regular mode,Science,Ma.in yogic science ,Second,Literate,Literate,No,No,3,2,3,2,1,4,3,3,4,3,3,3,2,2,2,2,3,4,3,3,2,2,3,5,3,3,3,3,3,4,3,4,3,5,5,4,4,4,4,4,4,4,4,5,3,3,3,3,4,3,4,3,3,3,4,4,3,3,3,3,3,3,3,4,3,2,42,54,47,29,41,213
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Arts,Arts,Third,Above Graduation,Intermediate,No,No,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,19,23,11,9,14,76
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Arts,Not Applicable,Second,Literate,Intermediate,No,No,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,4,2,2,2,2,2,3,2,2,2,2,4,3,3,2,2,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,41,30,18,26,147
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Distance mode,Arts,Arts,First,Intermediate,Intermediate,No,No,4,2,2,2,2,2,4,4,4,2,2,4,4,4,2,2,4,2,2,3,4,2,4,2,2,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,46,45,22,18,28,159
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Distance mode,Arts,Arts,Fifth,Literate,Intermediate,No,No,3,3,3,3,2,2,2,2,4,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,38,34,22,18,26,138
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Distance mode,Arts,Not Applicable,First,Literate,Intermediate,No,No,4,2,4,3,5,5,3,2,3,1,5,5,4,3,2,2,5,3,3,5,2,4,5,4,2,4,3,2,2,1,4,3,1,5,5,5,3,4,5,3,5,3,3,3,3,3,3,3,5,3,4,4,3,2,2,1,3,2,2,3,3,2,2,3,3,1,53,53,44,31,29,210
